TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
308.15,52.6381,73.1393,1.74693,-288515.0,366.226,0.000642163,0.15
309.15,52.6206,73.1398,1.70795,-288442.0,366.226,0.000643378,0.15
310.15,52.6027,73.1408,1.67017,-288369.0,366.226,0.00064458,0.15
311.15,52.5844,73.1421,1.63356,-288296.0,366.226,0.00064577,0.15
312.15,52.5658,73.1438,1.59806,-288223.0,366.226,0.000646948,0.15
313.15,52.5467,73.1459,1.56365,-288150.0,366.226,0.000648113,0.15
314.15,52.5273,73.1483,1.53027,-288077.0,366.226,0.000649265,0.15
315.15,52.5076,73.151,1.4979,-288003.0,366.226,0.000650406,0.15
316.15,52.4875,73.1541,1.46649,-287930.0,366.226,0.000651534,0.15
317.15,52.4671,73.1575,1.43601,-287857.0,366.226,0.000652649,0.15
318.15,52.4463,73.1612,1.40642,-287784.0,366.226,0.000653753,0.15
319.15,52.4251,73.1651,1.3777,-287711.0,366.226,0.000654844,0.15
320.15,52.4037,73.1694,1.34981,-287638.0,366.226,0.000655922,0.15
321.15,52.3819,73.1739,1.32273,-287564.0,366.226,0.000656989,0.15
322.15,52.3598,73.1786,1.29642,-287491.0,366.226,0.000658043,0.15
323.15,52.3373,73.1837,1.27086,-287418.0,366.226,0.000659085,0.15
324.15,52.3145,73.189,1.24602,-287345.0,366.226,0.000660116,0.15
325.15,52.2915,73.1945,1.22188,-287272.0,366.226,0.000661134,0.15
326.15,52.2681,73.2003,1.19841,-287198.0,366.226,0.000662139,0.15
327.15,52.2443,73.2063,1.17559,-287125.0,366.226,0.000663133,0.15
328.15,52.2203,73.2126,1.15341,-287052.0,366.226,0.000664115,0.15
329.15,52.196,73.2191,1.13182,-286979.0,366.226,0.000665085,0.15
330.15,52.1714,73.2259,1.11083,-286906.0,366.226,0.000666042,0.15
331.15,52.1465,73.2329,1.0904,-286832.0,366.226,0.000666988,0.15
332.15,52.1213,73.2401,1.07052,-286759.0,366.226,0.000667922,0.15
333.15,52.0958,73.2476,1.05117,-286686.0,366.226,0.000668844,0.15
334.15,52.07,73.2554,1.03234,-286613.0,366.226,0.000669753,0.15
335.15,52.0439,73.2633,1.014,-286539.0,366.226,0.000670652,0.15
336.15,52.0175,73.2716,0.99614,-286466.0,366.226,0.000671538,0.15
337.15,51.9909,73.2801,0.978745,-286393.0,366.226,0.000672412,0.15
338.15,51.964,73.2888,0.961801,-286320.0,366.226,0.000673275,0.15
339.15,51.9368,73.2978,0.945292,-286246.0,366.226,0.000674125,0.15
340.15,51.9093,73.3071,0.929205,-286173.0,366.226,0.000674964,0.15
341.15,51.8816,73.3166,0.913526,-286100.0,366.226,0.000675792,0.15
342.15,51.8536,73.3265,0.898244,-286026.0,366.226,0.000676607,0.15
343.15,51.8253,73.3366,0.883344,-285953.0,366.226,0.000677411,0.15
344.15,51.7968,73.347,0.868816,-285880.0,366.226,0.000678203,0.15
345.15,51.768,73.3577,0.854648,-285806.0,366.226,0.000678983,0.15
